id_municipio_publico;codigo_municipio;municipio;uf_codigo;uf_sigla;tipo_informacao;versao_publica
1;1100015;Alta Floresta D'Oeste;11;RO;DERIVADO_PUBLICACAO;v01
2;1100023;Ariquemes;11;RO;DERIVADO_PUBLICACAO;v01
3;1100031;Cabixi;11;RO;DERIVADO_PUBLICACAO;v01
4;1100049;Cacoal;11;RO;DERIVADO_PUBLICACAO;v01
5;1100056;Cerejeiras;11;RO;DERIVADO_PUBLICACAO;v01
6;1100064;Colorado do Oeste;11;RO;DERIVADO_PUBLICACAO;v01
7;1100072;Corumbiara;11;RO;DERIVADO_PUBLICACAO;v01
8;1100080;Costa Marques;11;RO;DERIVADO_PUBLICACAO;v01
9;1100098;Espigão D'Oeste;11;RO;DERIVADO_PUBLICACAO;v01
10;1100106;Guajará-Mirim;11;RO;DERIVADO_PUBLICACAO;v01
11;1100114;Jaru;11;RO;DERIVADO_PUBLICACAO;v01
12;1100122;Ji-Paraná;11;RO;DERIVADO_PUBLICACAO;v01
13;1100130;Machadinho D'Oeste;11;RO;DERIVADO_PUBLICACAO;v01
14;1100148;Nova Brasilândia D'Oeste;11;RO;DERIVADO_PUBLICACAO;v01
15;1100155;Ouro Preto do Oeste;11;RO;DERIVADO_PUBLICACAO;v01
16;1100189;Pimenta Bueno;11;RO;DERIVADO_PUBLICACAO;v01
17;1100205;Porto Velho;11;RO;DERIVADO_PUBLICACAO;v01
18;1100254;Presidente Médici;11;RO;DERIVADO_PUBLICACAO;v01
19;1100262;Rio Crespo;11;RO;DERIVADO_PUBLICACAO;v01
20;1100288;Rolim de Moura;11;RO;DERIVADO_PUBLICACAO;v01
21;1100296;Santa Luzia D'Oeste;11;RO;DERIVADO_PUBLICACAO;v01
22;1100304;Vilhena;11;RO;DERIVADO_PUBLICACAO;v01
23;1100320;São Miguel do Guaporé;11;RO;DERIVADO_PUBLICACAO;v01
24;1100338;Nova Mamoré;11;RO;DERIVADO_PUBLICACAO;v01
25;1100346;Alvorada D'Oeste;11;RO;DERIVADO_PUBLICACAO;v01
26;1100379;Alto Alegre dos Parecis;11;RO;DERIVADO_PUBLICACAO;v01
27;1100403;Alto Paraíso;11;RO;DERIVADO_PUBLICACAO;v01
28;1100452;Buritis;11;RO;DERIVADO_PUBLICACAO;v01
29;1100502;Novo Horizonte do Oeste;11;RO;DERIVADO_PUBLICACAO;v01
30;1100601;Cacaulândia;11;RO;DERIVADO_PUBLICACAO;v01
31;1100700;Campo Novo de Rondônia;11;RO;DERIVADO_PUBLICACAO;v01
32;1100809;Candeias do Jamari;11;RO;DERIVADO_PUBLICACAO;v01
33;1100908;Castanheiras;11;RO;DERIVADO_PUBLICACAO;v01
34;1100924;Chupinguaia;11;RO;DERIVADO_PUBLICACAO;v01
35;1100940;Cujubim;11;RO;DERIVADO_PUBLICACAO;v01
36;1101005;Governador Jorge Teixeira;11;RO;DERIVADO_PUBLICACAO;v01
37;1101104;Itapuã do Oeste;11;RO;DERIVADO_PUBLICACAO;v01
38;1101203;Ministro Andreazza;11;RO;DERIVADO_PUBLICACAO;v01
39;1101302;Mirante da Serra;11;RO;DERIVADO_PUBLICACAO;v01
40;1101401;Monte Negro;11;RO;DERIVADO_PUBLICACAO;v01
41;1101435;Nova União;11;RO;DERIVADO_PUBLICACAO;v01
42;1101450;Parecis;11;RO;DERIVADO_PUBLICACAO;v01
43;1101468;Pimenteiras do Oeste;11;RO;DERIVADO_PUBLICACAO;v01
44;1101476;Primavera de Rondônia;11;RO;DERIVADO_PUBLICACAO;v01
45;1101484;São Felipe D'Oeste;11;RO;DERIVADO_PUBLICACAO;v01
46;1101492;São Francisco do Guaporé;11;RO;DERIVADO_PUBLICACAO;v01
47;1101500;Seringueiras;11;RO;DERIVADO_PUBLICACAO;v01
48;1101559;Teixeirópolis;11;RO;DERIVADO_PUBLICACAO;v01
49;1101609;Theobroma;11;RO;DERIVADO_PUBLICACAO;v01
50;1101708;Urupá;11;RO;DERIVADO_PUBLICACAO;v01
51;1101757;Vale do Anari;11;RO;DERIVADO_PUBLICACAO;v01
52;1101807;Vale do Paraíso;11;RO;DERIVADO_PUBLICACAO;v01
53;1200013;Acrelândia;12;AC;DERIVADO_PUBLICACAO;v01
54;1200054;Assis Brasil;12;AC;DERIVADO_PUBLICACAO;v01
55;1200104;Brasiléia;12;AC;DERIVADO_PUBLICACAO;v01
56;1200138;Bujari;12;AC;DERIVADO_PUBLICACAO;v01
57;1200179;Capixaba;12;AC;DERIVADO_PUBLICACAO;v01
58;1200203;Cruzeiro do Sul;12;AC;DERIVADO_PUBLICACAO;v01
59;1200252;Epitaciolândia;12;AC;DERIVADO_PUBLICACAO;v01
60;1200302;Feijó;12;AC;DERIVADO_PUBLICACAO;v01
61;1200328;Jordão;12;AC;DERIVADO_PUBLICACAO;v01
62;1200336;Mâncio Lima;12;AC;DERIVADO_PUBLICACAO;v01
63;1200344;Manoel Urbano;12;AC;DERIVADO_PUBLICACAO;v01
64;1200351;Marechal Thaumaturgo;12;AC;DERIVADO_PUBLICACAO;v01
65;1200385;Plácido de Castro;12;AC;DERIVADO_PUBLICACAO;v01
66;1200393;Porto Walter;12;AC;DERIVADO_PUBLICACAO;v01
67;1200401;Rio Branco;12;AC;DERIVADO_PUBLICACAO;v01
68;1200427;Rodrigues Alves;12;AC;DERIVADO_PUBLICACAO;v01
69;1200435;Santa Rosa do Purus;12;AC;DERIVADO_PUBLICACAO;v01
70;1200450;Senador Guiomard;12;AC;DERIVADO_PUBLICACAO;v01
71;1200500;Sena Madureira;12;AC;DERIVADO_PUBLICACAO;v01
72;1200609;Tarauacá;12;AC;DERIVADO_PUBLICACAO;v01
73;1200708;Xapuri;12;AC;DERIVADO_PUBLICACAO;v01
74;1200807;Porto Acre;12;AC;DERIVADO_PUBLICACAO;v01
75;1300029;Alvarães;13;AM;DERIVADO_PUBLICACAO;v01
76;1300060;Amaturá;13;AM;DERIVADO_PUBLICACAO;v01
77;1300086;Anamã;13;AM;DERIVADO_PUBLICACAO;v01
78;1300102;Anori;13;AM;DERIVADO_PUBLICACAO;v01
79;1300144;Apuí;13;AM;DERIVADO_PUBLICACAO;v01
80;1300201;Atalaia do Norte;13;AM;DERIVADO_PUBLICACAO;v01
81;1300300;Autazes;13;AM;DERIVADO_PUBLICACAO;v01
82;1300409;Barcelos;13;AM;DERIVADO_PUBLICACAO;v01
83;1300508;Barreirinha;13;AM;DERIVADO_PUBLICACAO;v01
84;1300607;Benjamin Constant;13;AM;DERIVADO_PUBLICACAO;v01
85;1300631;Beruri;13;AM;DERIVADO_PUBLICACAO;v01
86;1300680;Boa Vista do Ramos;13;AM;DERIVADO_PUBLICACAO;v01
87;1300706;Boca do Acre;13;AM;DERIVADO_PUBLICACAO;v01
88;1300805;Borba;13;AM;DERIVADO_PUBLICACAO;v01
89;1300839;Caapiranga;13;AM;DERIVADO_PUBLICACAO;v01
90;1300904;Canutama;13;AM;DERIVADO_PUBLICACAO;v01
91;1301001;Carauari;13;AM;DERIVADO_PUBLICACAO;v01
92;1301100;Careiro;13;AM;DERIVADO_PUBLICACAO;v01
93;1301159;Careiro da Várzea;13;AM;DERIVADO_PUBLICACAO;v01
94;1301209;Coari;13;AM;DERIVADO_PUBLICACAO;v01
95;1301308;Codajás;13;AM;DERIVADO_PUBLICACAO;v01
96;1301407;Eirunepé;13;AM;DERIVADO_PUBLICACAO;v01
97;1301506;Envira;13;AM;DERIVADO_PUBLICACAO;v01
98;1301605;Fonte Boa;13;AM;DERIVADO_PUBLICACAO;v01
99;1301654;Guajará;13;AM;DERIVADO_PUBLICACAO;v01
100;1301704;Humaitá;13;AM;DERIVADO_PUBLICACAO;v01
101;1301803;Ipixuna;13;AM;DERIVADO_PUBLICACAO;v01
102;1301852;Iranduba;13;AM;DERIVADO_PUBLICACAO;v01
103;1301902;Itacoatiara;13;AM;DERIVADO_PUBLICACAO;v01
104;1301951;Itamarati;13;AM;DERIVADO_PUBLICACAO;v01
105;1302009;Itapiranga;13;AM;DERIVADO_PUBLICACAO;v01
106;1302108;Japurá;13;AM;DERIVADO_PUBLICACAO;v01
107;1302207;Juruá;13;AM;DERIVADO_PUBLICACAO;v01
108;1302306;Jutaí;13;AM;DERIVADO_PUBLICACAO;v01
109;1302405;Lábrea;13;AM;DERIVADO_PUBLICACAO;v01
110;1302504;Manacapuru;13;AM;DERIVADO_PUBLICACAO;v01
111;1302553;Manaquiri;13;AM;DERIVADO_PUBLICACAO;v01
112;1302603;Manaus;13;AM;DERIVADO_PUBLICACAO;v01
113;1302702;Manicoré;13;AM;DERIVADO_PUBLICACAO;v01
114;1302801;Maraã;13;AM;DERIVADO_PUBLICACAO;v01
115;1302900;Maués;13;AM;DERIVADO_PUBLICACAO;v01
116;1303007;Nhamundá;13;AM;DERIVADO_PUBLICACAO;v01
117;1303106;Nova Olinda do Norte;13;AM;DERIVADO_PUBLICACAO;v01
118;1303205;Novo Airão;13;AM;DERIVADO_PUBLICACAO;v01
119;1303304;Novo Aripuanã;13;AM;DERIVADO_PUBLICACAO;v01
120;1303403;Parintins;13;AM;DERIVADO_PUBLICACAO;v01
121;1303502;Pauini;13;AM;DERIVADO_PUBLICACAO;v01
122;1303536;Presidente Figueiredo;13;AM;DERIVADO_PUBLICACAO;v01
123;1303569;Rio Preto da Eva;13;AM;DERIVADO_PUBLICACAO;v01
124;1303601;Santa Isabel do Rio Negro;13;AM;DERIVADO_PUBLICACAO;v01
